id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game_id,player_id,team_id
12695845,3,2,7,0.364,11,4,0.545,22,12,0.4,5,2,36,2,3,30,9,5,2,858265,667378,18
12695846,7,2,5,0.25,8,2,0.263,19,5,0.0,1,0,39,0,1,12,5,2,5,858265,3547238,18
12700200,2,0,2,0.333,6,2,0.182,11,2,0.5,2,1,27,1,5,7,3,2,0,858284,66,15
12700201,0,4,4,0.25,4,1,0.5,14,7,1.0,1,1,32,3,5,16,7,1,2,858284,231,15
12700202,2,1,4,0.0,1,0,0.529,17,9,,0,0,33,7,2,18,11,2,1,858284,3547285,15
12700203,3,1,5,0.0,2,0,0.538,13,7,0.667,3,2,30,0,2,16,5,4,0,858284,3547287,15
12700204,10,0,9,0.0,5,0,0.517,29,15,0.818,11,9,34,1,0,39,10,2,3,858284,666786,15
12700205,1,0,2,0.0,2,0,0.429,7,3,,0,0,15,1,0,6,3,0,0,858284,17896067,15
12700206,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,01,0,0,0,0,0,0,858284,38017702,15
12700207,2,0,4,0.0,0,0,0.75,4,3,0.0,0,0,14,1,1,6,5,0,0,858284,666505,15
12700215,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858284,3,15
12700216,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858284,38017728,15
12700217,1,1,5,0.0,1,0,0.167,6,1,1.0,2,2,29,3,3,4,8,1,3,858284,457,14
12700218,0,0,1,0.0,4,0,0.125,8,1,0.0,0,0,26,2,0,2,3,0,1,858284,68,14
12700219,0,5,13,0.0,1,0,0.474,19,9,0.769,13,10,36,6,3,28,19,0,5,858284,117,14
12700220,2,0,3,0.5,4,2,0.625,8,5,0.0,0,0,32,0,3,12,3,2,3,858284,38,14
12700221,10,0,4,0.25,4,1,0.364,11,4,1.0,1,1,32,0,4,10,4,0,6,858284,409,14
12700208,4,0,1,0.333,3,1,0.5,6,3,,0,0,14,0,0,7,1,2,0,858284,249,15
12700209,1,0,1,0.333,6,2,0.286,7,2,,0,0,23,0,2,6,1,0,0,858284,254,15
12700210,0,0,1,0.0,2,0,0.0,4,0,0.0,0,0,14,0,0,0,1,0,0,858284,666703,15
12700211,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,01,0,0,0,0,0,0,858284,38017732,15
12700212,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,01,0,0,0,0,0,0,858284,38017729,15
12700213,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,01,0,0,0,0,0,0,858284,38017731,15
12700214,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,01,0,0,0,0,0,0,858284,17896027,15
12700229,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858284,237,14
12700230,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858284,38017656,14
12700231,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858284,405,14
12706454,3,0,1,0.0,0,0,0.75,8,6,1.0,4,4,27,2,1,16,3,1,1,858289,79,16
12706455,1,0,5,0.0,2,0,0.6,5,3,0.75,4,3,24,0,3,9,5,0,1,858289,285,16
12706456,2,0,6,,0,0,0.615,13,8,1.0,4,4,30,2,0,20,8,1,2,858289,4,16
12706457,6,0,1,0.2,5,1,0.267,15,4,1.0,2,2,30,0,0,11,1,0,2,858289,666633,16
12706458,1,0,1,0.0,7,0,0.182,11,2,,0,0,28,0,2,4,1,1,1,858289,1603383,16
12706459,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858289,203,16
