,Unnamed: 0,id,date,home_team_score,period,postseason,season,visitor_team_score,home_team_id,visitor_team_id,visitor_team_name,visitor_team_name,home_team_name
177,177,857463,2022-11-02,110,4,False,2022,107,16,26,Sacramento Kings,Sacramento Kings,Miami Heat
178,178,857477,2022-11-04,111,4,False,2022,110,7,28,Toronto Raptors,Toronto Raptors,Dallas Mavericks
179,179,857592,2022-11-19,119,4,False,2022,97,13,27,San Antonio Spurs,San Antonio Spurs,LA Clippers
180,180,857496,2022-11-06,102,4,False,2022,110,13,29,Utah Jazz,Utah Jazz,LA Clippers
181,181,857507,2022-11-07,112,4,False,2022,103,9,21,Oklahoma City Thunder,Oklahoma City Thunder,Detroit Pistons
182,182,857519,2022-11-09,117,4,False,2022,129,18,24,Phoenix Suns,Phoenix Suns,Minnesota Timberwolves
183,183,857572,2022-11-16,103,4,False,2022,106,8,20,New York Knicks,New York Knicks,Denver Nuggets
184,184,857581,2022-11-18,107,4,False,2022,108,5,22,Orlando Magic,Orlando Magic,Chicago Bulls
185,185,857605,2022-11-21,121,4,False,2022,107,5,2,Boston Celtics,Boston Celtics,Chicago Bulls
186,186,857595,2022-11-20,137,4,False,2022,129,26,9,Detroit Pistons,Detroit Pistons,Sacramento Kings
187,187,857622,2022-11-23,98,4,False,2022,112,28,3,Brooklyn Nets,Brooklyn Nets,Toronto Raptors
188,188,857660,2022-11-28,115,4,False,2022,116,14,12,Indiana Pacers,Indiana Pacers,Los Angeles Lakers
189,189,857629,2022-11-25,128,4,False,2022,117,12,3,Brooklyn Nets,Brooklyn Nets,Indiana Pacers
190,190,857665,2022-11-29,110,4,False,2022,140,9,20,New York Knicks,New York Knicks,Detroit Pistons
191,191,857669,2022-11-30,113,4,False,2022,85,6,23,Philadelphia 76ers,Philadelphia 76ers,Cleveland Cavaliers
192,192,857684,2022-12-02,99,4,False,2022,117,27,19,New Orleans Pelicans,New Orleans Pelicans,San Antonio Spurs
193,193,857702,2022-12-04,92,4,False,2022,103,3,2,Boston Celtics,Boston Celtics,Brooklyn Nets
194,194,857697,2022-12-03,120,4,False,2022,101,10,11,Houston Rockets,Houston Rockets,Golden State Warriors
195,195,857745,2022-12-10,110,4,False,2022,102,6,21,Oklahoma City Thunder,Oklahoma City Thunder,Cleveland Cavaliers
196,196,857719,2022-12-07,126,4,False,2022,113,28,14,Los Angeles Lakers,Los Angeles Lakers,Toronto Raptors
197,197,857735,2022-12-09,114,4,False,2022,103,15,9,Detroit Pistons,Detroit Pistons,Memphis Grizzlies
198,198,857758,2022-12-12,128,4,False,2022,103,15,1,Atlanta Hawks,Atlanta Hawks,Memphis Grizzlies
199,199,857749,2022-12-11,117,4,False,2022,124,9,14,Los Angeles Lakers,Los Angeles Lakers,Detroit Pistons
200,200,857779,2022-12-15,132,5,False,2022,129,29,19,New Orleans Pelicans,New Orleans Pelicans,Utah Jazz
201,201,857764,2022-12-13,121,4,False,2022,100,29,19,New Orleans Pelicans,New Orleans Pelicans,Utah Jazz
202,202,857770,2022-12-14,135,4,False,2022,124,22,1,Atlanta Hawks,Atlanta Hawks,Orlando Magic
203,203,857790,2022-12-16,118,4,False,2022,112,6,12,Indiana Pacers,Indiana Pacers,Cleveland Cavaliers
204,204,857797,2022-12-17,118,4,False,2022,114,24,19,New Orleans Pelicans,New Orleans Pelicans,Phoenix Suns
205,205,857817,2022-12-20,105,4,False,2022,91,8,15,Memphis Grizzlies,Memphis Grizzlies,Denver Nuggets
206,206,857805,2022-12-18,121,4,False,2022,124,9,3,Brooklyn Nets,Brooklyn Nets,Detroit Pistons
207,207,857812,2022-12-19,123,4,False,2022,121,21,25,Portland Trail Blazers,Portland Trail Blazers,Oklahoma City Thunder
208,208,857824,2022-12-21,108,4,False,2022,110,1,5,Chicago Bulls,Chicago Bulls,Atlanta Hawks
209,209,857839,2022-12-23,107,4,False,2022,118,6,28,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers
210,210,857850,2022-12-25,112,4,False,2022,119,20,23,Philadelphia 76ers,Philadelphia 76ers,New York Knicks
211,211,857845,2022-12-23,111,4,False,2022,125,26,30,Washington Wizards,Washington Wizards,Sacramento Kings
212,212,857855,2022-12-26,131,5,False,2022,142,9,13,LA Clippers,LA Clippers,Detroit Pistons
213,213,857860,2022-12-27,126,4,False,2022,102,2,11,Houston Rockets,Houston Rockets,Boston Celtics
214,214,857901,2023-01-01,95,4,False,2022,118,17,30,Washington Wizards,Washington Wizards,Milwaukee Bucks
215,215,857874,2022-12-28,127,4,False,2022,126,26,8,Denver Nuggets,Denver Nuggets,Sacramento Kings
216,216,857886,2022-12-30,123,4,False,2022,114,17,18,Minnesota Timberwolves,Minnesota Timberwolves,Milwaukee Bucks
217,217,857898,2022-12-31,104,4,False,2022,116,18,9,Detroit Pistons,Detroit Pistons,Minnesota Timberwolves
218,218,857921,2023-01-04,117,4,False,2022,114,20,27,San Antonio Spurs,San Antonio Spurs,New York Knicks
219,219,857910,2023-01-02,115,4,False,2022,121,4,14,Los Angeles Lakers,Los Angeles Lakers,Charlotte Hornets
220,220,857960,2023-01-09,107,4,False,2022,111,20,17,Milwaukee Bucks,Milwaukee Bucks,New York Knicks
